btcbegin,btchigh,btclow,btcend,cboebegin,cboehigh,cboelow,cboeend,cboevolumn,3hbefore,12hbefore,1dbefore,2dbefore,3hafter,12hafter,1dafter,2dafter
0.8416610098063907,0.8521944527915679,0.8520277995134043,0.8473391255076316,0.8814655172413793,0.8559381588193955,0.8898608920120465,0.8921852387843705,0.0013986013986013986,1,0,0,0,1,0,0,0
0.8475843649209024,0.8498419145235652,0.8508508384251129,0.8342592126508471,0.8814655172413793,0.8629655657062543,0.8898608920120465,0.8994211287988423,0.002797202797202797,1,0,0,0,0,0,0,0
0.8342592126508471,0.8516962888414639,0.8592130333472997,0.8561829193714269,0.8929597701149424,0.8615600843288826,0.9013337157607917,0.8979739507959479,0.0013986013986013986,1,0,0,0,0,0,0,0
0.8561829193714269,0.8463297950985036,0.8472943938389806,0.830488079403107,0.8814655172413793,0.848910751932537,0.8791051197475981,0.8740955137481909,0.002797202797202797,0,0,0,0,0,0,0,0
0.830488079403107,0.8314183955030823,0.8001462000432676,0.7925790319279543,0.8706896551724138,0.8383696416022488,0.8647640900616664,0.8596237337192474,0.002797202797202797,1,1,0,0,0,1,0,0
0.7925790319279543,0.8041665002947596,0.8090133994282774,0.7994292922009741,0.8635057471264368,0.83134223471539,0.8647640900616664,0.8596237337192474,0.005594405594405594,1,1,1,0,1,1,0,1
0.7994292922009741,0.793348854054756,0.8055466337530724,0.7991248897398119,0.8563218390804598,0.8243148278285313,0.8647640900616664,0.8596237337192474,0.008391608391608393,1,1,0,0,1,1,0,1
0.8040777768916999,0.8216029533174762,0.823564434106174,0.8264354255438747,0.8581178160919539,0.8260716795502459,0.8665567187724079,0.8614327062228653,0.006643356643356643,1,1,0,0,1,1,0,1
0.8259308162239282,0.813887743440096,0.8260509384173281,0.8221258787176765,0.8599137931034483,0.8278285312719607,0.8683493474831494,0.8632416787264834,0.004895104895104895,0,1,0,0,0,0,0,1
0.8220151326542592,0.8116083824776572,0.8232769916914685,0.8145962878865552,0.8617097701149424,0.8295853829936752,0.8701419761938909,0.8650506512301013,0.0031468531468531466,0,1,0,0,0,0,0,1
0.8145962878865552,0.8100110315954343,0.8240680150942202,0.8097980080286716,0.8635057471264368,0.83134223471539,0.8719346049046324,0.8668596237337192,0.0013986013986013986,0,1,1,0,0,0,0,1
0.8097980080286716,0.8131522535852611,0.8147476838917421,0.8065278432979311,0.8661398467432951,0.8339189505739049,0.8745637936803865,0.8695127834056922,0.000932400932400932,1,1,1,0,1,0,0,1
0.8065278432979311,0.8151785561994223,0.8297860061286558,0.8115004042149244,0.8687739463601528,0.8364956664324195,0.8771929824561402,0.8721659430776647,0.0004662004662004662,1,1,1,0,1,0,0,1
0.8115004042149244,0.8121490187586178,0.8238509734562361,0.8201011521000118,0.8714080459770114,0.8390723822909345,0.8798221712318945,0.8748191027496381,0.0,1,1,0,0,1,0,0,1
