,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
63,283.85,288.04,278.5,283.6,2017-09-21T11:59:10.0000000Z,2017-09-21T00:01:25.0000000Z,2017-09-21T12:00:00.0000000Z,2017-09-21T00:00:00.0000000Z,3603,7475.48983209
64,258.25,285.39,250.01,283.79,2017-09-21T23:57:47.0000000Z,2017-09-21T12:01:04.0000000Z,2017-09-22T00:00:00.0000000Z,2017-09-21T12:00:00.0000000Z,7788,21828.308495604
65,256.2,274.0,255.2,258.17,2017-09-22T11:59:26.0000000Z,2017-09-22T00:00:34.0000000Z,2017-09-22T12:00:00.0000000Z,2017-09-22T00:00:00.0000000Z,3792,10084.240340029
66,262.89,265.0,250.0,256.19,2017-09-22T23:59:09.0000000Z,2017-09-22T12:00:17.0000000Z,2017-09-23T00:00:00.0000000Z,2017-09-22T12:00:00.0000000Z,3887,8856.269683649
67,284.04,284.04,258.95,263.0,2017-09-23T11:59:54.0000000Z,2017-09-23T00:09:02.0000000Z,2017-09-23T12:00:00.0000000Z,2017-09-23T00:00:00.0000000Z,3601,7513.70685041
68,285.58,286.28,274.68,284.04,2017-09-23T23:59:09.0000000Z,2017-09-23T12:00:01.0000000Z,2017-09-24T00:00:00.0000000Z,2017-09-23T12:00:00.0000000Z,3570,8278.814715908
69,281.13,294.22,275.59,285.31,2017-09-24T11:58:26.0000000Z,2017-09-24T00:00:16.0000000Z,2017-09-24T12:00:00.0000000Z,2017-09-24T00:00:00.0000000Z,3517,7926.226303808
70,283.58,289.92,278.01,281.59,2017-09-24T23:59:47.0000000Z,2017-09-24T12:00:04.0000000Z,2017-09-25T00:00:00.0000000Z,2017-09-24T12:00:00.0000000Z,2910,6628.935495488
71,288.12,291.23,282.2,283.48,2017-09-25T11:57:53.0000000Z,2017-09-25T00:00:13.0000000Z,2017-09-25T12:00:00.0000000Z,2017-09-25T00:00:00.0000000Z,3785,7221.235336878
72,294.94,297.53,286.87,288.08,2017-09-25T23:54:36.0000000Z,2017-09-25T12:01:41.0000000Z,2017-09-26T00:00:00.0000000Z,2017-09-25T12:00:00.0000000Z,5389,15897.868722434
73,293.0,295.3,287.1,294.45,2017-09-26T11:59:58.0000000Z,2017-09-26T00:00:48.0000000Z,2017-09-26T12:00:00.0000000Z,2017-09-26T00:00:00.0000000Z,3082,8863.195032768
74,288.94,293.8,285.22,293.01,2017-09-26T23:59:26.0000000Z,2017-09-26T12:00:01.0000000Z,2017-09-27T00:00:00.0000000Z,2017-09-26T12:00:00.0000000Z,3282,5758.577444237
75,295.48,297.76,287.22,288.43,2017-09-27T11:59:58.0000000Z,2017-09-27T00:00:09.0000000Z,2017-09-27T12:00:00.0000000Z,2017-09-27T00:00:00.0000000Z,3401,8207.647578
76,310.35,313.0,294.5,295.48,2017-09-27T23:57:20.0000000Z,2017-09-27T12:00:04.0000000Z,2017-09-28T00:00:00.0000000Z,2017-09-27T12:00:00.0000000Z,7633,27098.215040274
77,302.0,310.96,300.0,310.38,2017-09-28T11:59:40.0000000Z,2017-09-28T00:00:55.0000000Z,2017-09-28T12:00:00.0000000Z,2017-09-28T00:00:00.0000000Z,3271,7870.165573418
78,302.42,303.44,294.52,302.02,2017-09-28T23:57:51.0000000Z,2017-09-28T12:00:05.0000000Z,2017-09-29T00:00:00.0000000Z,2017-09-28T12:00:00.0000000Z,2760,9956.930482778
79,294.99,303.59,278.42,302.42,2017-09-29T11:59:32.0000000Z,2017-09-29T00:01:47.0000000Z,2017-09-29T12:00:00.0000000Z,2017-09-29T00:00:00.0000000Z,5080,18096.363778556
80,291.57,299.5,288.41,294.99,2017-09-29T23:41:31.0000000Z,2017-09-29T12:00:10.0000000Z,2017-09-30T00:00:00.0000000Z,2017-09-29T12:00:00.0000000Z,3045,8598.100187328
81,300.34,302.64,283.0,291.65,2017-09-30T11:59:02.0000000Z,2017-09-30T00:00:50.0000000Z,2017-09-30T12:00:00.0000000Z,2017-09-30T00:00:00.0000000Z,2037,6122.537562667
82,301.35,304.76,298.5,300.37,2017-09-30T23:54:08.0000000Z,2017-09-30T12:00:01.0000000Z,2017-10-01T00:00:00.0000000Z,2017-09-30T12:00:00.0000000Z,2258,5965.97197986
83,297.13,302.32,287.86,300.99,2017-10-01T11:59:50.0000000Z,2017-10-01T00:03:29.0000000Z,2017-10-01T12:00:00.0000000Z,2017-10-01T00:00:00.0000000Z,1329,3759.60288557
84,302.92,303.06,286.16,297.07,2017-10-01T23:59:43.0000000Z,2017-10-01T12:00:26.0000000Z,2017-10-02T00:00:00.0000000Z,2017-10-01T12:00:00.0000000Z,1856,5118.580735847
85,299.01,303.06,290.6,301.24,2017-10-02T11:59:37.0000000Z,2017-10-02T00:00:00.0000000Z,2017-10-02T12:00:00.0000000Z,2017-10-02T00:00:00.0000000Z,1495,5193.49106984
86,296.97,299.53,292.7,298.81,2017-10-02T23:57:26.0000000Z,2017-10-02T12:01:26.0000000Z,2017-10-03T00:00:00.0000000Z,2017-10-02T12:00:00.0000000Z,1911,7195.60589633
87,291.8,299.4,286.12,296.12,2017-10-03T11:57:38.0000000Z,2017-10-03T00:00:46.0000000Z,2017-10-03T12:00:00.0000000Z,2017-10-03T00:00:00.0000000Z,1588,5418.584902438
88,292.21,294.0,287.95,292.15,2017-10-03T23:58:38.0000000Z,2017-10-03T12:00:16.0000000Z,2017-10-04T00:00:00.0000000Z,2017-10-03T12:00:00.0000000Z,1544,4332.125397048
89,292.49,295.56,289.81,291.82,2017-10-04T11:58:33.0000000Z,2017-10-04T00:02:16.0000000Z,2017-10-04T12:00:00.0000000Z,2017-10-04T00:00:00.0000000Z,924,1847.10323224
90,291.79,293.65,288.25,291.36,2017-10-04T23:55:07.0000000Z,2017-10-04T12:02:07.0000000Z,2017-10-05T00:00:00.0000000Z,2017-10-04T12:00:00.0000000Z,1543,3217.246341558
91,290.52,294.25,286.5,291.4,2017-10-05T11:55:47.0000000Z,2017-10-05T00:00:21.0000000Z,2017-10-05T12:00:00.0000000Z,2017-10-05T00:00:00.0000000Z,1887,3484.954863349
92,294.61,297.5,290.79,290.82,2017-10-05T23:57:13.0000000Z,2017-10-05T12:02:06.0000000Z,2017-10-06T00:00:00.0000000Z,2017-10-05T12:00:00.0000000Z,2324,5372.391060139
93,300.73,301.0,292.71,294.6,2017-10-06T11:58:00.0000000Z,2017-10-06T00:00:03.0000000Z,2017-10-06T12:00:00.0000000Z,2017-10-06T00:00:00.0000000Z,1504,4252.428507466
94,307.52,308.8,297.51,300.46,2017-10-06T23:59:58.0000000Z,2017-10-06T12:09:34.0000000Z,2017-10-07T00:00:00.0000000Z,2017-10-06T12:00:00.0000000Z,2989,7131.345043248
95,305.0,314.43,301.0,307.52,2017-10-07T11:51:56.0000000Z,2017-10-07T00:01:07.0000000Z,2017-10-07T12:00:00.0000000Z,2017-10-07T00:00:00.0000000Z,1878,4283.58202708
96,311.0,314.2,304.76,304.91,2017-10-07T23:59:33.0000000Z,2017-10-07T12:00:44.0000000Z,2017-10-08T00:00:00.0000000Z,2017-10-07T12:00:00.0000000Z,1273,3164.182637869
97,309.76,313.69,307.1,311.0,2017-10-08T11:59:55.0000000Z,2017-10-08T00:00:46.0000000Z,2017-10-08T12:00:00.0000000Z,2017-10-08T00:00:00.0000000Z,1270,3441.87888234
98,308.65,313.9,307.01,310.25,2017-10-08T23:59:01.0000000Z,2017-10-08T12:01:22.0000000Z,2017-10-09T00:00:00.0000000Z,2017-10-08T12:00:00.0000000Z,2761,6287.366817404
99,304.84,309.75,301.02,308.63,2017-10-09T11:58:20.0000000Z,2017-10-09T00:02:51.0000000Z,2017-10-09T12:00:00.0000000Z,2017-10-09T00:00:00.0000000Z,1902,8682.056082069
100,295.94,305.5,285.0,304.85,2017-10-09T23:59:38.0000000Z,2017-10-09T12:00:40.0000000Z,2017-10-10T00:00:00.0000000Z,2017-10-09T12:00:00.0000000Z,4049,15857.070875239
101,298.9,299.52,291.0,296.8,2017-10-10T11:59:52.0000000Z,2017-10-10T00:02:13.0000000Z,2017-10-10T12:00:00.0000000Z,2017-10-10T00:00:00.0000000Z,1758,4124.99047956
102,298.06,304.99,296.17,298.99,2017-10-10T23:56:47.0000000Z,2017-10-10T12:07:01.0000000Z,2017-10-11T00:00:00.0000000Z,2017-10-10T12:00:00.0000000Z,2241,5811.674016589
103,298.87,303.29,297.0,298.98,2017-10-11T11:59:13.0000000Z,2017-10-11T00:01:03.0000000Z,2017-10-11T12:00:00.0000000Z,2017-10-11T00:00:00.0000000Z,994,2458.12550515
104,303.25,304.43,298.79,298.79,2017-10-11T23:59:22.0000000Z,2017-10-11T12:00:05.0000000Z,2017-10-12T00:00:00.0000000Z,2017-10-11T12:00:00.0000000Z,1240,6270.9819191
105,306.83,308.47,302.11,303.07,2017-10-12T11:59:32.0000000Z,2017-10-12T00:04:28.0000000Z,2017-10-12T12:00:00.0000000Z,2017-10-12T00:00:00.0000000Z,2051,6505.823518369
106,302.71,307.5,299.01,306.03,2017-10-12T23:59:54.0000000Z,2017-10-12T12:00:20.0000000Z,2017-10-13T00:00:00.0000000Z,2017-10-12T12:00:00.0000000Z,3629,17118.605036639
107,328.33,333.0,295.76,302.71,2017-10-13T11:59:39.0000000Z,2017-10-13T00:00:00.0000000Z,2017-10-13T12:00:00.0000000Z,2017-10-13T00:00:00.0000000Z,7741,25299.169020648
