btcdate,btcbegin,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2017-12-14 07:00:00,16751.998,17285.0,17285.0,17240.0,17240.0,7.0
2017-12-14 08:00:00,16474.3242,17337.5,17337.5,17315.0,17315.0,4.0
2017-12-14 09:00:00,16376.0654,17390.0,17390.0,17390.0,17390.0,1.0
2017-12-14 10:00:00,16540.916,17280.0,17280.0,17280.0,17280.0,1.0
2017-12-14 11:00:00,16366.7656,17110.0,17110.0,17110.0,17110.0,1.0
2017-12-14 12:00:00,16134.8174,17188.0,17228.0,17188.0,17228.0,4.199999999999999
2017-12-14 13:00:00,16218.4043,17266.0,17346.0,17266.0,17346.0,7.399999999999999
2017-12-14 14:00:00,16499.8301,17344.0,17464.0,17344.0,17464.0,10.6
2017-12-14 15:00:00,16430.2227,17422.0,17582.0,17422.0,17582.0,13.8
2017-12-14 16:00:00,16370.2002,17500.0,17700.0,17500.0,17700.0,17.0
2017-12-14 17:00:00,16704.8555,17700.0,17700.0,17680.0,17680.0,3.0
2017-12-14 18:00:00,16808.5977,17680.0,17680.0,17400.0,17400.0,6.0
2017-12-14 19:00:00,16497.9668,17686.666666666668,17686.666666666668,17500.0,17500.0,4.333333333333334
2017-12-14 20:00:00,16669.4277,17693.333333333332,17693.333333333332,17600.0,17600.0,2.666666666666667
2017-12-14 21:00:00,16619.375,17700.0,17700.0,17700.0,17700.0,1.0
2017-12-14 22:00:00,16759.2012,17410.0,17410.0,17410.0,17410.0,1.0
2017-12-14 23:00:00,16628.9395,17220.0,17220.0,16820.0,16950.0,5.0
2017-12-15 00:00:00,16331.4141,17040.0,17170.0,17040.0,17120.0,10.0
2017-12-15 01:00:00,16415.6758,17100.0,17260.0,17100.0,17260.0,5.0
2017-12-15 02:00:00,16374.5576,17220.0,17260.0,17190.0,17190.0,9.0
2017-12-15 03:00:00,16535.3574,17130.0,17130.0,17080.0,17080.0,2.0
2017-12-15 04:00:00,16485.9492,17040.0,17080.0,16940.0,16940.0,10.0
2017-12-15 05:00:00,16496.6758,16970.0,16970.0,16780.0,16820.0,13.0
2017-12-15 06:00:00,16410.0508,17053.333333333332,17053.333333333332,16926.666666666668,16953.333333333332,9.0
2017-12-15 07:00:00,16518.1094,17136.666666666668,17136.666666666668,17073.333333333332,17086.666666666668,5.0
2017-12-15 08:00:00,16591.4121,17220.0,17220.0,17220.0,17220.0,1.0
2017-12-15 09:00:00,16435.0195,17340.0,17340.0,17319.0,17319.0,2.0
2017-12-15 10:00:00,16913.5,17460.0,17700.0,17460.0,17700.0,15.0
2017-12-15 11:00:00,17045.8867,18150.0,18150.0,18150.0,18150.0,1.0
2017-12-15 12:00:00,17353.0,18000.0,18110.0,18000.0,18110.0,3.0
2017-12-15 13:00:00,17162.0,18012.5,18160.0,18012.5,18160.0,4.75
2017-12-15 14:00:00,17280.5,18025.0,18210.0,18025.0,18210.0,6.5
2017-12-15 15:00:00,17234.1855,18037.5,18260.0,18037.5,18260.0,8.25
2017-12-15 16:00:00,17133.8867,18050.0,18310.0,18050.0,18310.0,10.0
2017-12-15 17:00:00,17062.002,18320.0,18400.0,18280.0,18400.0,5.0
2017-12-15 18:00:00,17222.375,18500.0,18800.0,18500.0,18800.0,10.0
2017-12-15 19:00:00,17461.6953,18685.0,18875.0,18685.0,18875.0,8.5
2017-12-15 20:00:00,17770.9004,18870.0,18950.0,18870.0,18950.0,7.0
2017-12-15 21:00:00,17841.0,18780.0,18780.0,18390.0,18590.0,8.0
2017-12-15 22:00:00,17760.5,18320.0,18450.0,18320.0,18449.0,4.0
2017-12-15 23:00:00,17777.0566,18350.0,18350.0,18090.0,18090.0,15.0
2017-12-16 00:00:00,17659.5,18090.0,18320.0,18090.0,18280.0,8.0
2017-12-16 01:00:00,17568.2559,18230.0,18400.0,18230.0,18400.0,13.0
2017-12-16 02:00:00,17647.7422,18400.0,18430.0,18060.0,18060.0,7.0
2017-12-16 03:00:00,17620.3555,18120.0,18680.0,18120.0,18200.0,16.0
2017-12-16 04:00:00,17786.5488,18200.0,18260.0,18200.0,18260.0,2.0
2017-12-16 05:00:00,17701.2734,18400.0,18500.0,18210.0,18220.0,17.0
2017-12-16 06:00:00,17749.6992,18666.666666666668,18833.333333333332,18433.333333333332,18458.333333333332,18.333333333333336
2017-12-18 03:00:00,19039.5,18933.333333333332,19166.666666666668,18656.666666666668,18696.666666666668,19.666666666666668
2017-12-18 04:00:00,18843.3633,19200.0,19500.0,18880.0,18935.0,21.0
2017-12-18 05:00:00,18945.7734,19466.666666666668,19833.333333333332,19103.333333333332,19173.333333333332,22.333333333333332
2017-12-18 06:00:00,19035.4219,19733.333333333332,20166.666666666668,19326.666666666668,19411.666666666668,23.666666666666668
2017-12-18 07:00:00,18982.2754,20000.0,20500.0,19550.0,19650.0,25.0
2017-12-18 08:00:00,19370.541,19600.0,19760.0,19520.0,19520.0,4.0
2017-12-18 09:00:00,19029.9414,19100.0,19100.0,18490.0,18640.0,15.0
2017-12-18 10:00:00,18240.998,19040.0,19100.0,18600.0,19100.0,7.0
2017-12-18 11:00:00,18538.6875,19100.0,19100.0,18850.0,18850.0,2.0
2017-12-18 12:00:00,18361.1406,19090.0,19090.0,19090.0,19090.0,1.0
2017-12-18 13:00:00,18609.752,19420.0,19420.0,19420.0,19420.0,1.0
2017-12-18 14:00:00,18810.543,19485.0,19535.0,19460.0,19465.5,9.0
2017-12-18 15:00:00,18974.8652,19550.0,19650.0,19500.0,19511.0,17.0
2017-12-18 16:00:00,19032.1504,19505.0,19620.0,19480.0,19550.5,12.0
2017-12-18 17:00:00,18774.2266,19460.0,19590.0,19460.0,19590.0,7.0
2017-12-18 18:00:00,19010.25,19390.0,19390.0,19350.0,19350.0,2.0
2017-12-18 19:00:00,18863.4688,19400.0,19430.0,19400.0,19430.0,2.0
2017-12-18 20:00:00,18932.4785,19660.0,19800.0,19660.0,19800.0,3.0
2017-12-18 21:00:00,19169.9648,19700.0,19700.0,19650.0,19650.0,3.0
2017-12-18 22:00:00,18991.9102,19500.0,19522.0,18940.0,18940.0,16.0
2017-12-18 23:00:00,18790.0625,19019.0,19270.0,19019.0,19270.0,13.0
2017-12-19 00:00:00,18721.3672,19410.0,19410.0,19350.0,19350.0,3.0
2017-12-19 01:00:00,18821.0977,19300.0,19300.0,19187.0,19187.0,6.0
2017-12-19 02:00:00,18603.8672,19000.0,19000.0,19000.0,19000.0,3.0
2017-12-19 03:00:00,18571.5703,19150.0,19410.0,19040.0,19390.0,6.0
